[t=0] Log started.
[t=1] BUZZ: 2-2.6853
[t=1] BUZZ: 3-1.84892
[t=1] BUZZ: 4-4.23635
[t=1] BUZZ: 5-1.15888
[t=1] BUZZ: 7-2.00931
[t=1] BUZZ: 6-3.78513
[t=1] BUZZ: 10-3.02936
[t=1] BUZZ: 13-4.10956
[t=1] BUZZ: 14-3.48593
[t=1] BUZZ: 15-3.4483
[t=1] BUZZ: 11-2.56779
[t=1] BUZZ: 9-2.67394
[t=1] BUZZ: 8-0.715934
[t=1] BUZZ: 12-0.529393
[t=1] BUZZ: 19-3.13392
[t=1] BUZZ: 17-4.09912
[t=1] BUZZ: 18-3.50092
[t=1] BUZZ: 16-3.20275
[t=1] BUZZ: 23-3.64456
[t=1] BUZZ: 24-3.09728
[t=1] BUZZ: 22-1.3609
[t=1] BUZZ: 26-3.36322
[t=1] BUZZ: 27-1.99871
[t=1] BUZZ: 28-1.5167
[t=1] BUZZ: 20-3.71494
[t=1] BUZZ: 21-1.6661
[t=1] BUZZ: 25-1.85865
[t=1] BUZZ: 32-3.66205
[t=1] BUZZ: 33-2.94779
[t=1] BUZZ: 31-3.78109
[t=1] BUZZ: 34-2.71334
[t=1] BUZZ: 30-5.4113
[t=1] BUZZ: 29-2.3865
[t=1] BUZZ: 35-2.58328
[t=1] BUZZ: 36-2.78463
[t=1] BUZZ: 37-3.86712
[t=1] BUZZ: 38-2.56124
[t=1] BUZZ: 39-2.4985
[t=1] BUZZ: 0-2.92626
[t=1] BUZZ: 1-2.88517
[t=2] BUZZ: 31-3.78109
[t=2] BUZZ: 30-5.4113
[t=2] BUZZ: 4-4.23635
[t=2] BUZZ: 6-3.78513
[t=2] BUZZ: 10-3.02936
[t=2] BUZZ: 13-4.10956
[t=2] BUZZ: 14-3.48593
[t=2] BUZZ: 15-3.4483
[t=2] BUZZ: 9-2.67394
[t=2] BUZZ: 19-3.13392
[t=2] BUZZ: 17-4.09912
[t=2] BUZZ: 18-3.50092
[t=2] BUZZ: 23-3.64456
[t=2] BUZZ: 24-3.09728
[t=2] BUZZ: 32-3.66205
[t=2] BUZZ: 1-2.88517
[t=2] BUZZ: 2-2.6853
[t=2] BUZZ: 3-1.84892
[t=2] BUZZ: 5-1.15888
[t=2] BUZZ: 7-2.00931
[t=2] BUZZ: 11-2.56779
[t=2] BUZZ: 8-0.715934
[t=2] BUZZ: 12-0.529393
[t=2] BUZZ: 16-3.20275
[t=2] BUZZ: 22-1.3609
[t=2] BUZZ: 26-3.36322
[t=2] BUZZ: 27-1.99871
[t=2] BUZZ: 28-1.5167
[t=2] BUZZ: 20-3.71494
[t=2] BUZZ: 21-1.6661
[t=2] BUZZ: 25-1.85865
[t=2] BUZZ: 33-2.94779
[t=2] BUZZ: 34-2.71334
