[t=0] Log started.
[t=6] BUZZ: 29-1
[t=77] BUZZ: 11-1
[t=232] BUZZ: 21-1
[t=390] BUZZ: 13-1
[t=423] BUZZ: 20-1
[t=575] BUZZ: 24-1
[t=811] BUZZ: 33-1
[t=837] BUZZ: 12-1
[t=952] BUZZ: 6-1
[t=957] BUZZ: 5-1
[t=1024] BUZZ: 3-1
[t=1098] BUZZ: 2-1
[t=1103] BUZZ: 19-1
[t=1170] BUZZ: 9-1
[t=1219] BUZZ: 0-1
[t=1269] BUZZ: 25-1
[t=1309] BUZZ: 8-1
[t=1336] BUZZ: 16-1
[t=1387] BUZZ: 39-1
[t=1443] BUZZ: 36-1
[t=1450] BUZZ: 22-1
[t=1546] BUZZ: 27-1
[t=1559] BUZZ: 7-1
[t=1663] BUZZ: 34-1
[t=1675] BUZZ: 28-1
[t=1707] BUZZ: 31-1
[t=1723] BUZZ: 35-1
[t=1830] BUZZ: 38-1
[t=1967] BUZZ: 1-1
[t=2053] BUZZ: 37-1
[t=2312] BUZZ: 10-1
[t=2338] BUZZ: 18-1
[t=2419] BUZZ: 4-1
[t=2668] BUZZ: 17-1
[t=2733] BUZZ: 14-1
[t=2774] BUZZ: 15-1
[t=2833] BUZZ: 26-1
[t=2871] BUZZ: 32-1
[t=3172] BUZZ: 23-1
