[t=0] Log started.
[t=6] BUZZ: 29-1
[t=77] BUZZ: 11-1
[t=232] BUZZ: 21-1
[t=487] BUZZ: 20-1
[t=528] BUZZ: 13-1
[t=582] BUZZ: 24-1
[t=683] BUZZ: 12-1
[t=687] BUZZ: 2-1
[t=794] BUZZ: 7-1
[t=830] BUZZ: 28-1
[t=953] BUZZ: 31-1
[t=1046] BUZZ: 10-1
[t=1154] BUZZ: 4-1
[t=1209] BUZZ: 38-1
[t=1277] BUZZ: 32-1
[t=1391] BUZZ: 18-1
[t=2421] BUZZ: 5-1
[t=2424] BUZZ: 26-1
[t=2465] BUZZ: 8-1
[t=2477] BUZZ: 33-1
[t=2622] BUZZ: 22-1
[t=2735] BUZZ: 1-1
[t=2839] BUZZ: 9-1
[t=2926] BUZZ: 27-1
[t=3020] BUZZ: 37-1
[t=3025] BUZZ: 3-1
[t=3106] BUZZ: 35-1
[t=3107] BUZZ: 17-1
[t=3184] BUZZ: 39-1
[t=3257] BUZZ: 6-1
[t=3310] BUZZ: 16-1
[t=3413] BUZZ: 34-1
[t=3502] BUZZ: 25-1
[t=3504] BUZZ: 36-1
[t=3587] BUZZ: 15-1
[t=3590] BUZZ: 19-1
[t=3699] BUZZ: 0-1
[t=4542] BUZZ: 14-1
